,County,State,FIPS,TotalOil (bbl),TotalGas (mcf),em_gas_county (lbCO2e),em_oil_county (lbCO2e),em_total_county (lbCO2e),annual_avg_emplvl
140,COAL,OK,40029,51736,43963996.1,5287380549.562016,48650625.635049395,5336031175.197065,
141,COCHRAN,TX,48079,2745288,2095256,249788667.87280002,2571227460.981049,2821016128.853849,16.25
142,COFFEY,KS,20031,398735.32,0,0,374955983.85634035,374955983.85634035,28.5
143,COKE,TX,48081,290577,2241924,267273884.16120002,272153435.97083086,539427320.1320308,
144,COLEMAN,TX,48083,189014,473235,56417325.730500005,177029873.48135132,233447199.21185133,9.5
145,COLFAX,NM,35007,0,15356337,1841473578.9594002,0,1841473578.9594002,
146,COLLINGSWORTH,TX,48087,3761,688001,82020933.62,3522539.886798662,85543473.50309867,
147,COLORADO,TX,48089,439211,10027443,1195434653,411363537.9475478,1606798190.8684478,
148,COLUMBIA,AR,05027,639404,2739137,325271697.00890005,623690678.0348974,948962375.0437975,41.5
149,COLUMBIANA,OH,39029,53997.00001,35646340.92,4440899573.191431,52013613.54326413,4492913186.734695,
150,COMANCHE,KS,20033,163049.58,2157089,259928038.10105002,153325809.42732406,413253847.5283741,
151,COMANCHE,OK,40031,41629,458246,55111482.17,39146375.726021945,94257857.89892194,0
152,COMANCHE,TX,48093,41694,325797,38840312.891100004,39050459.46295757,77890772.35405758,
153,CONCHO,TX,48095,221623,299093,35656760.815900005,207571352.7,243228113.5,
154,CONCORDIA,LA,22029,529360.1788,720257.0536,85782362.99736424,516351178.29926306,602133541.2966273,
155,CONECUH,AL,01035,2258857,6871764,826440600,2203345699.9234824,3029786299.9120827,
156,CONVERSE,WY,56009,31217272,88563947,11095477264,30181697920.59256,41277175185.04126,48.75
157,CONWAY,AR,05029,0,52320717,6213069447.534901,0,6213069447.534901,
158,COOKE,TX,48097,2190144,12583365,1500142216.8495002,2051281467.118524,3551423683.9680243,45.75
159,COSHOCTON,OH,39031,98778.00005,870100.0007,108398972.30605765,95149743.88230994,203548716.1883676,
160,COTTLE,TX,48101,94119,1785256,212831614.87280002,88151537.25222102,300983152.12502104,
161,COTTON,OK,40033,48609,21802,2622042.602,45710110.20361288,48332152.80591288,
162,COVINGTON,AL,01039,7829,0,0,7636602.708671219,7636602.708671219,
163,COWLEY,KS,20035,649619.05,2508,302212.6206,610877787.3617294,611179999.9823294,12.25
164,CRAIG,OK,40035,840,18633,2240919.173,789905.0087645255,3030824.1817145254,
165,CRANE,TX,48103,31050457.01,333214767.9,39724631729.38969,29081753075.18434,68806384804.57404,259.25
166,CRAWFORD,AR,05033,0,1459647,173332643.35590002,0,173332643.35590002,
167,CRAWFORD,KS,20037,47888.979999999996,0,0,45033029.96026689,45033029.96026689,
168,CRAWFORD,MI,26039,232758,1145725,141534101.7,224208468.22660223,365742569.9303522,
169,CRAWFORD,OH,39033,165,0,0,158939.31575881116,158939.31575881116,
170,CRAWFORD,PA,42039,1024,21313,2580635.5851000003,989429.5725,3570065.157558238,19.75
171,CREEK,OK,40037,1705645,553017,66509225.47,1603925629.3740108,1670434854.8485608,164.75
172,CROCKETT,TX,48105,9913195,101998421.6,12159874427.799917,9284664928,21444539355.50879,121
173,CROOK,WY,56011,745900,20461,2563397.0481000002,721156175.3048117,723719572.3529117,0
174,CROSBY,TX,48107,986766,8926,1064124.694,924201700.0629536,925265824.7567536,
175,CULBERSON,TX,48109,35888189,381290541.3,45456047554.01454,33612756505.575375,79068804059.58992,
176,CUSTER,OK,40039,686784,57652116,6933598031,645826335.2,7579424365.839276,117
177,CUSTER,SD,46033,348,0,0,345288.5575385991,345288.5575385991,
178,CUYAHOGA,OH,39035,54174.63677,1285687.508,160173778.25733623,52184725.45,212358503.71086043,
179,DAGGETT,UT,49009,948,851446,103492665.3,916551.8892464963,104409217.1770465,
180,DALLAS,TX,48113,0,6061015,722571782.5,0,722571782.5,3938.25
181,DANIELS,MT,30019,16939,0,0,16377080.64551308,16377080.64551308,
182,DAWSON,MT,30021,401120,233921,29251540.34,387813601.0702052,417065141.4150052,
183,DAWSON,TX,48115,4245363,2015193,240243853.2,3976192635.3201885,4216436488.5660887,55.5
184,DE SOTO,LA,22031,406151.0365,3072628751,365949008768.54865,396169894.6722643,366345178663.2209,176.75
185,DECATUR,KS,20039,211262.37,0,0,198663338.3648386,198663338.3648386,
186,DELAWARE,OH,39041,1873.9999893000002,0,0,1805165.3092809783,1805165.3092809783,
187,DELTA,CO,08029,0,398643,50082337.30815001,0,50082337.30815001,
188,DENTON,TX,48121,197450,144078626,17176520701,184931002.56538042,17361451703.369183,287.25
189,DEUEL,NE,31049,0,41640,5182745.502,0,5182745.502,
190,DEWEY,OK,40043,1669450,33370329,4013320993,1569889186.764211,5583210179.827561,
191,DICKENS,TX,48125,426803,26690,3181883.0470000003,399742247.0899573,402924130.1369573,
192,DICKENSON,VA,51051,0,3769625,461273367.30625004,0,461273367.30625004,
193,DICKINSON,KS,20041,3838.9700000000003,0,0,3610025.751781846,3610025.751781846,
194,DIVIDE,ND,38023,5378237,9348896,1165796580,5336332459.283686,6502129039.253285,
195,DODDRIDGE,WV,54017,775081,375220883,47577463894.11965,748914123.4868199,48326378017.60647,106
196,DOLORES,CO,08033,115,30086269,3779799651,111185.09204994417,3779910836.4135003,
197,DONLEY,TX,48129,0,5627,670830.1201,0,670830.1201,
198,DOUGLAS,KS,20045,46600.22,0,0,43821127.60420097,43821127.60420097,6.5
199,DUCHESNE,UT,49013,16550958,40094514,4873460111,16001911206.476171,20875371317.016373,437.5
200,DUNDY,NE,31057,224838,0,0,211429359.95309332,211429359.95309332,
201,DUNN,ND,38025,85477167,118662510,14797078535,84811171539.98834,99608250075.10184,263.25
202,DUVAL,TX,48131,983617,5358633,638836399.3179001,921252357.3074287,1560088756.6253288,9
203,EAST BATON ROUGE,LA,22033,445953,4171288,496798940.8,431084531.4486566,927883472.2978566,168.5
204,EAST FELICIANA,LA,22037,84833,5648,672674.8232000001,82004592.53863946,82677267.36183946,
205,EASTLAND,TX,48133,125299,1402013,167142802.4,117354619.85535377,284497422.26725376,155.75
206,EATON,MI,26045,2595,0,0,2499681.966024939,2499681.966024939,
207,ECTOR,TX,48135,39825891.52,110694757.82699999,13196619457.530981,37300795370.62055,50497414828.151535,1294.25
208,EDDY,NM,35015,143109375,731844054,87759957948.27481,134778335755.21565,222538293703.49048,1621
209,EDWARDS,KS,20047,140900.91,600907,72408963,132498017.3196186,204906980.3207686,
210,EDWARDS,TX,48137,2267,1728031,206009462.1,2123264.536924373,208132726.64222437,
211,ELBERT,CO,08039,6940,5263,661201.4792,6709778.598492282,7370980.0776422825,
212,ELK,KS,20049,77073.63,0,0,72477198.07,72477198.07,
213,ELK,PA,42047,2.220446e-15,67533186.07,8177100509,2.1454833363736375e-12,8177100509,3.5
214,ELLIS,KS,20051,3216866.5100000002,0,0,3025022581.8760223,3025022581.8760223,163
215,ELLIS,OK,40045,2757254,23404240,2814737838.4760003,2592819934.5666943,5407557773.042694,
216,ELLIS,TX,48139,32,2453495,292496596,29971.091831310074,292526567.06033134,13.75
217,ELLSWORTH,KS,20053,298399.5,63398,7639424.131,280603880.55098814,288243304.68208814,
218,EMERY,UT,49015,30,5961136,724571908.0048001,29004.80662172456,724600912.8114218,
219,ERATH,TX,48143,2449,1897598,226224612.4,2293725.121714949,228518337.56911495,
220,ERIE,OH,39043,2405.999995,0,0,2317624.1995212305,2317624.1995212305,
221,ERIE,PA,42049,4.440892e-16,3.6348702360000004e-13,4.401199023245172e-11,4.290966672747274e-13,4.444108689972645e-11,
222,ESCAMBIA,AL,01053,747509,8197716,985907742.1,729139002.9577359,1715046745.071136,
223,EVANGELINE,LA,22039,864608,4883107,581576334.6,835781202.4,1417357537.0414162,
224,FAIRFIELD,OH,39045,23275.000061400002,56659.000079995996,7058702.879766078,22420076.266940627,29478779.146706704,
225,FALL RIVER,SD,46047,27089,0,0,26877936.020583652,26877936.020583652,
226,FALLON,MT,30025,3097934,5806121,726048463.7,2995165886.5621886,3721214350.2669888,
227,FALLS,TX,48145,719,0,0,673412.9695847481,673412.9695847481,
228,FAULKNER,AR,05045,0,18048949,2143307279.0653002,0,2143307279.0653002,154.5
229,FAYETTE,AL,01057,35412,610415,73412261.95,34541751.83541515,107954013.78766516,
230,FAYETTE,PA,42051,3.5527136e-15,71780614.77,8691390644.011478,3.4327733381978194e-12,8691390644.011478,17.25
231,FAYETTE,TX,48149,3222013,28315819,3375707173,3017726484.5210896,6393433657,73
232,FAYETTE,WV,54019,93,1092522,138530205.4,89860.30296739857,138620065.7460674,
233,FERGUS,MT,30027,0,8030,1004141.8640000001,0,1004141.8640000001,
234,FINNEY,KS,20055,2588197.16,9635321,1161050881,2433845119.4691906,3594896000.5426407,94
235,FISHER,TX,48151,1739026,2310675,275470124,1628765873.2198699,1904235997,
236,FOARD,TX,48155,64917,35162,4191883.541,60801042.762911126,64992926.30351113,
237,FORD,KS,20057,520594.16000000003,976688,117690366.8,489547541.0923343,607237907.9139342,
238,FOREST,PA,42053,123.639999,270037.78000020003,32696903.50443022,119465.8899412456,32816369.394371465,
239,FORT BEND,TX,48157,1240641,5377558,641092567.8,1190983796.0207536,1832076363.8161535,144.25
240,FRANKLIN,AR,05047,0,2906504,345146478,0,345146478,
241,FRANKLIN,KS,20059,245210.07,0,0,230586502.9672618,230586502.9672618,20.75
242,FRANKLIN,LA,22041,6330925,3361405.151,400342176.9922972,6175342828.380934,6575685005.373231,0
243,FRANKLIN,NE,31061,32688,0,0,30738589.198208105,30738589.198208105,
244,FRANKLIN,OH,39049,82.0000007,0,0,78988.02426351537,78988.02426351537,29
245,FRANKLIN,TX,48159,895299,960634,114523231.1,838534017.0462524,953057248.1804523,
246,FREESTONE,TX,48161,54399,76598821,9131828024,50949919.52,9182777943.498907,167
247,FREMONT,CO,08043,18236,5933,745374.9526500001,17631055.11845897,18376430.07110897,
248,FREMONT,WY,56013,1884863,79165095,9917969348.299501,1822336227.4481208,11740305575.747622,209
249,FRIO,TX,48163,8579714.5,12962286,1545315776,8035731598.935081,9581047375.396881,53.25
250,FRONTIER,NE,31063,34252,0,0,32209317.1,32209317.1,
251,FURNAS,NE,31065,10870,0,0,10221746.958655229,10221746.958655229,
252,GAINES,TX,48165,62251391,73957034,8816883952,58304442383.993416,67121326336.44762,130
253,GALLIA,OH,39053,12094.99998,94840.99982,11815500.407620722,11650733.457804922,23466233.865425646,
254,GALVESTON,TX,48167,16131864,75451012,8994990481.895601,15486179018.435259,24481169500.33086,111
255,GARDEN,NE,31069,3658,2360,293738.698,3439848.240548374,3733586.938548374,
256,GARFIELD,CO,08045,1155687,439632336,55231911618,1117349265.0080333,56349260882.97684,389.25
257,GARFIELD,MT,30033,4312,1300,162563.44,4168957.5384292104,4331520.978,
258,GARFIELD,OK,40047,1198071,13190843,1586411903,1126621766.3756237,2713033669.2400737,75.25
259,GARFIELD,UT,49017,110211,9151,1112297.644,106554958.08622953,107667255.73052953,
260,GARVIN,OK,40049,4850482,62804871,7553300036,4561214317.526397,12114514353.943047,98.25
261,GARZA,TX,48169,2105992,223085,26595368.29,1972464988.3751364,1999060356.6606364,77.5
262,GEARY,KS,20061,458.13,0,0,430808.54960153817,430808.54960153817,
263,GEAUGA,OH,39055,49982.000047350004,1107596.999919927,137986870.96342432,48146090.22898591,186132961.19241023,
264,GENESEE,MI,26049,7233,0,0,6967321.641718067,6967321.641718067,
265,GILMER,WV,54021,100054,4173845,529237493.92475003,96676158.64,625913652.5602349,51.25
266,GLACIER,MT,30035,238686,437246,54677087.6,230768042.44376495,285445130,26
267,GLADWIN,MI,26051,198111,472841,58411159.91,190834101.72299296,249245261.62934297,
268,GLASSCOCK,TX,48173,61699684,264561025,31539986525,57787715473,89327701997,57.5
269,GOLDEN VALLEY,MT,30037,0,13341,1668276.041,0,1668276.041,
270,GOLDEN VALLEY,ND,38033,515806,467337,58276386.462450005,511787096.9,570063483.3,
271,GOLIAD,TX,48175,152199,4355481,519244329.5,142549068.92604882,661793398.4663489,
272,GOSHEN,WY,56015,29030,3905,489226.60050000006,28066984.54095547,28556211.141455468,
273,GOVE,KS,20063,602429.17,0,0,566502165.2486379,566502165.2486379,
274,GRADY,OK,40051,15621322,186675497,22450743323.52655,14689714870.623184,37140458194.149734,142.75
275,GRAHAM,KS,20065,983616.53,0,0,924956694.9411693,924956694.9411693,
276,GRAND,UT,49019,149690,2369944,288065034.2,144724316.77353165,432789351.0127317,10.333333333333334
277,GRAND TRAVERSE,MI,26055,34721,47413,5857039.3105500005,33445648.378555648,39302687.689105645,28.5
278,GRANT,KS,20067,615825.67,19380629,2335355135,579099739.5937736,2914454874.7478237,40
279,GRANT,LA,22043,240426,0,0,234517542.8324162,234517542.8324162,
280,GRANT,OK,40053,355578,3926470,472221429.99050003,334372432.3886577,806593862.3791578,7.75
281,GRAY,KS,20069,94140.27,340952,41084528.48,88526036.66600572,129610565.14240572,
282,GRAY,TX,48179,878601,5827101,694685420.9,822894726.7,1517580147.636327,164
283,GRAYSON,TX,48181,1056919,4205647,501381674.4,989906762.7267629,1491288437.172863,43
284,GREELEY,KS,20071,208118.65000000002,233913,28186387.847850002,195707100.0622753,223893487.9101253,
285,GREENE,PA,42059,0,1037994817,125683214987.19778,0,125683214987.19778,118.25
286,GREENWOOD,KS,20073,665956.28,0,0,626240715.7026081,626240715.7026081,30
287,GREER,OK,40055,467,21495,2585120.8942500004,439149.5703488493,3024270.4645988494,
288,GREGG,TX,48183,1101131,24273415,2893786725,1031315572.4781966,3925102297.142697,351.5
289,GRIMES,TX,48185,317164,8964792,1068749333,297054730.2995509,1365804062.809151,
290,GUADALUPE,TX,48187,1102612,15,1788.2445000000002,1032702672.0720145,1032704460.3165145,12.25
291,GUERNSEY,OH,39059,8974102.985,76028782.99,9471833048.691849,8644471442,18116304491.02942,16.5
292,GUNNISON,CO,08051,634,3400317,427188795.4,612968.2466057792,427801763.60645574,
293,HALE,TX,48189,4515838,5152944,614314917.8,4229518606.041238,4843833523.828438,
294,HAMILTON,KS,20075,12133.73,2156020,259799224.2,11410112.026186172,271209336.2151862,
295,HAMILTON,TX,48193,17,33150,3952020.3449999997,15922.142535383477,3967942.487535383,
296,HANCOCK,WV,54029,34,3456,438215.78880000004,32852.15377302743,471067.94257302745,
297,HANSFORD,TX,48195,224870,9226947,1100002482,210612481.87833425,1310614963.5144343,46
298,HARDEMAN,TX,48197,564763,121400,14472858.82,528955116.7476928,543427975.5676929,0
299,HARDIN,TX,48199,1248517,3919065,467216428.75949997,1198544555.6421585,1665760984.4016585,38.75
300,HARDING,NM,35021,0,34349142,4119018582,0,4119018582,
301,HARDING,SD,46063,1005124,4519374,568305405.3138001,997292575.0213416,1565597980.3351417,
302,HARLAN,NE,31083,38431,0,0,36139094.514082715,36139094.514082715,
303,HARMON,OK,40057,2821,0,0,2652764.3211008646,2652764.3211008646,
304,HARPER,KS,20077,361169.9,8700915,1048455472,339630848.8392652,1388086320.8360152,23
305,HARPER,OK,40059,70202,6374821,766675178.6,66015370.74438955,832690549.3535396,
306,HARRIS,TX,48201,1263712,6718755,800985111.7,1213131369.0559788,2014116480.7624788,36005
307,HARRISON,OH,39067,7332340.012,262258006.3374055,32672679397.127922,7063012753.607382,39735692150.735306,
308,HARRISON,TX,48203,770142,261163832,31134985744.861603,721312393.9109001,31856298138.772503,311.5
309,HARRISON,WV,54033,44265,161669842,20499501544,42770605.49303116,20542272149.822132,322.25
310,HARTLEY,TX,48205,231194,821518,97938336.34,216535518.90149692,314473855.2448969,
311,HARVEY,KS,20079,132584.86,124890,15049176.31,124677910.7146945,139727087.0251945,
312,HASKELL,KS,20081,6567202.95,10095057,1216448816,6175555361.640676,7392004177.859325,
313,HASKELL,OK,40061,0,11520972,1385582946.6978002,0,1385582946.6978002,
314,HASKELL,TX,48207,1880964,4292514,511737636.77820003,1761704524.230885,2273442161.009085,
315,HAYES,NE,31085,23509,0,0,22106996.25124432,22106996.25124432,
316,HEMPHILL,TX,48211,1761591,78878367,9403587064,1649900175.944042,11053487239.726143,159.25
317,HEMPSTEAD,AR,05057,1927,0,0,1879644.0694353608,1879644.0694353608,
318,HENDERSON,TX,48213,655089,19279489,2298429344.4707003,613554143.0212839,2911983487.4919844,10.75
319,HIDALGO,TX,48215,509714,39910344,4757963543,477396409.42826194,5235359952.835462,109
320,HILL,MT,30041,172,2321808,290339304.2,166294.22463122083,290505598.4550313,
321,HILL,TX,48217,0,8180241,975218065.1283001,0,975218065.1283001,0
322,HILLSDALE,MI,26059,4776,0,0,4600570.739782315,4600570.739782315,
323,HITCHCOCK,NE,31087,981228,0,0,922710609.4523784,922710609.4523784,
324,HOCKING,OH,39073,32421.999989120002,56848.00029,7082248.942052752,31231093.90183585,38313342.84,
325,HOCKLEY,TX,48219,20170742,11216013,1337131571,18891848774.614468,20228980345.226368,395
326,HODGEMAN,KS,20083,469737.99,595621,71772002.91,441724275.1285483,513496278.03699833,
327,HOLMES,OH,39075,84223.00007,856823.0011,106744894.48611866,81129369.71377079,187874264.19988945,14
328,HOOD,TX,48221,56399,29305171,3493654057.4873004,52823112.75606427,3546477170.243365,22.25
329,HOPKINS,TX,48223,125374,99111,11815646.71,117424864.60183342,129240511.31113341,
330,HOT SPRINGS,WY,56017,1603168,234601,29391305.942100003,1549985927.4045641,1579377233.3466642,111
331,HOUSTON,TX,48225,708514,2336098,278500959.99740005,663591817.4302758,942092777.4276758,70.66666666666667
332,HOWARD,TX,48227,109569401.5,214160996,25531481547.434803,102622331070.56824,128153812618.00304,148.75
333,HUERFANO,CO,08055,0,3956813,497102528.65665007,0,497102528.65665007,
334,HUGHES,OK,40063,207464,68575013.9,8247252907.949486,195091491.35514703,8442344399.304633,19
335,HUNT,TX,48231,467,0,0,437390.6214131814,437390.6214131814,
336,HUNTINGDON,PA,42061,0,31576.76,3823399.358,0,3823399.358,
337,HURON,OH,39077,24201.00011,25972.00011,3235648.9121214836,23312063.017720632,26547711.929842114,
338,HUTCHINSON,TX,48233,446855,5115975,609907610.4,418522882.5,1028430492.901252,845
339,IBERIA,LA,22045,1161425,9110759,1085088208,1122702060.3914673,2207790268.5258174,574.75
340,IBERVILLE,LA,22047,840003,1117276,133067180.55340001,811996554.9519027,945063735.5053028,
341,INDEPENDENCE,AR,05063,0,2054550,243977196.13500002,0,243977196.13500002,
342,INDIANA,PA,42063,2.6645352e-15,4775770.44,578263179.4551942,2.574580003648365e-12,578263179.4551942,190
343,INGHAM,MI,26065,9953,0,0,9587412.18,9587412.18,
344,IRION,TX,48235,10993687,132910298,15845073959.457401,10296650082.552492,26141724042.009895,266.5
345,ISABELLA,MI,26073,131811,0,0,126969394.84536156,126969394.84536156,94.75
346,JACK,TX,48237,923228,15073053,1796953608.3639002,864692224,2661645832.4025483,36.5
347,JACKSON,AR,05067,0,323101,38368146.82,0,38368146.82,
348,JACKSON,CO,08057,32789,31881,4005275.3860500003,31701286.810657557,35706562.196707554,
349,JACKSON,KS,20085,3089.84,0,0,2905571.538,2905571.538,
350,JACKSON,LA,22049,23033,16477901.64,1962512317.701127,22466965.153764743,1984979282.8548918,
351,JACKSON,MI,26075,492901,1121216,138506447.3,474796046.5262653,613302493.8638654,
352,JACKSON,OH,39079,0,4830.999993,601856.6073,0,601856.6073,
353,JACKSON,OK,40065,36790,20119,2419634.672,34595958.65767487,37015593.329524875,
354,JACKSON,TX,48239,9406397,2621110,312479036.1,9029901806,9342380842,25.5
355,JACKSON,WV,54035,7967,2457069,311552786.44995004,7698032.620873811,319250819.07082385,
356,JASPER,TX,48241,813420,8977676,1070285315,780862505.2365683,1851147820.5553684,42.5
357,JEFFERSON,AL,01073,0,10113031,1216255303,0,1216255303,26.33333333333333
358,JEFFERSON,KS,20087,10610.75,0,0,9977957.823509749,9977957.823509749,
359,JEFFERSON,LA,22051,2382656.307,7485310.088,891497811.6341792,2303216432.875042,3194714244.509221,34.5
360,JEFFERSON,OH,39081,1376.999988,473809027.1362561,59028170980.494484,1326420.823370031,59029497401.317856,
361,JEFFERSON,OK,40067,200470,266,31990.7959,188514591.79407668,188546582.58997667,
362,JEFFERSON,PA,42065,2.220446e-15,6946793.589999768,841136524.2,2.145483336373637e-12,841136524.2,82.25
363,JEFFERSON,TX,48245,641223,3812101,454464576.4,615557766.2,1070022342.662164,70.5
364,JEFFERSON DAVIS,LA,22053,449084.0781,5618584,669171387.8956001,434111216.6519062,1103282604.5475063,40
365,JIM HOGG,TX,48247,87186,5219390,622236364.1,81658112.88764375,703894476.9446437,14
366,JIM WELLS,TX,48249,103553,2200825,262374213.44750002,96987389.76273912,359361603.2102392,11.75
367,JOHNSON,AR,05071,0,816592,96970055.02,0,96970055.02,
368,JOHNSON,KS,20091,324286.71,48228,5811447.475,304947257.7437728,310758705.2183728,115.5
369,JOHNSON,TX,48251,6319,141692372,16892040328,5918354.040064011,16897958682.103664,62
370,JOHNSON,WY,56019,1028625,58083344,7276803311.342401,994502307.0423809,8271305618.384782,6.666666666666667
371,JOHNSTON,OK,40069,372070,1834304,220604680,349880900.7274012,570485580.7370012,
372,JONES,TX,48253,506684,215347,25672872.56,474558521.6704848,500231394.2265848,
373,KALAMAZOO,MI,26077,186221,0,0,179380838.30255497,179380838.30255497,
374,KALKASKA,MI,26079,16071,880375,108754792.63125001,15480689.354908206,124235481.98615822,
375,KANAWHA,WV,54039,28166,10338770,1310941045,27215110.681502666,1338156155.4650025,151.5
376,KAUFMAN,TX,48257,42657,18889,2251876.691,39952402.007756054,42204278.69845606,
377,KAY,OK,40071,776140,1552934,186765393.38410002,729853420.8363081,916618814.2204082,14.75
378,KEARNEY,NE,31099,2280,0,0,2144027.880932283,2144027.880932283,
379,KEARNY,KS,20093,335554.33,14897142,1795097417.5719001,315542911.8805053,2110640329.4524055,
380,KENAI PENINSULA,AK,02122,3678795,71008258,8158866596.264501,3611519802.556149,11770386398.82065,307.5
381,KENEDY,TX,48261,300248,25472540,3036741970.4020004,288230441.1893845,3324972411.591385,
382,KENT,MI,26081,23533,0,0,22668599.501527898,22668599.501527898,
383,KENT,TX,48263,4576682,10808172,1288510276,4286504890.771995,5575015166.375595,
384,KERN,CA,06029,42393731.05,91587445.99801736,11036236869.665792,41618464519.417465,52654701389.08326,1395.75
385,KIMBALL,NE,31105,336962,14276,1776870.1918000001,316866632.8134667,318643503.0052667,6
386,KIMBLE,TX,48267,292,0,0,273486.2129607044,273486.2129607044,
387,KING,TX,48269,4587514,162541,19377536.618300002,4296650105.356894,4316027641.975194,
388,KINGFISHER,OK,40073,18393667,106791570,12843410976.355501,17296725824.817574,30140136801.173073,264
389,KINGMAN,KS,20095,438169.83,3745378,451315989,412038742.2,863354731.1926961,22.25
390,KIOWA,CO,08061,111553,294870,37045122.583500005,107852439.76910801,144897562.35260803,
391,KIOWA,KS,20097,319926.3,1826132,220047901.6,300846889.0541693,520894790.68156934,
392,KIOWA,OK,40075,3834,782063,94055706.07,3605352.1471466557,97661058.21459666,
393,KIT CARSON,CO,08063,1183,14889,1870535.592,1143756.2077833386,3014291.800233339,
394,KLEBERG,TX,48273,156682,5151552,614148968.7,150410733.74821863,764559702.4458187,
395,KNOX,OH,39083,91341.00007,432908.0003,53932631.07734796,87985915.47,141918546.54381865,10.75
396,KNOX,TX,48275,130206,2,238.4326,121950499.46836123,121950737.90096124,
397,LA PLATA,CO,08067,14763,235224520,29551738658,14273265.338550657,29566011923.20455,149.5
398,LA SALLE,LA,22059,1612164.4910249999,2299002.152,273810351.7084237,1572545627.6644619,1846355979.3728855,66.75
399,LABETTE,KS,20099,6131.96,1765338,212722258.1,5766268.949456809,218488527.0135568,
400,LAFAYETTE,AR,05073,104111,244268,29006751.72,101552477.27710682,130559228.99670681,
401,LAFAYETTE,LA,22055,139371,894116,106488902.65940002,134724247.24697608,241213149.9063761,501
402,LAFOURCHE,LA,22057,72263581.7,36559496.06,4354223184.561507,69854249790.73192,74208472975.29343,353.25
403,LAKE,MI,26085,24,0,0,23118.44592855435,23118.44592855435,
404,LAKE,OH,39085,2179.000003,198158.9998,24687084.14,2098962.2397966417,26786046.383117944,
405,LAMAR,AL,01075,24050,762152,91661086.75,23458972.428604268,115120059.18340427,
406,LAMB,TX,48279,783694,910880,108591743.3,734005151.3014599,842596894.6454599,
407,LANE,KS,20101,758913.5700000001,0,0,713654321.6218659,713654321.6218659,
408,LAPEER,MI,26087,5871,0,0,5655349.835272608,5655349.835272608,
409,LARAMIE,WY,56021,9060187,9286069,1163378225.0649002,8759632396,9923010621,46.5
410,LARIMER,CO,08069,861452,6703279,842146682.5,832874955.7965956,1675021638.2885456,24
411,LAS ANIMAS,CO,08071,0,45104885,5666619168,0,5666619168,
412,LATIMER,OK,40077,0,13328583,1602977362.3654501,0,1602977362.3654501,44.25
413,LAVACA,TX,48285,9142014,36035869,4296062969.464701,8562379409.910073,12858442379.374775,48.75
414,LAWRENCE,OH,39087,1198.999995,124941.4166,15565476.550024776,1154959.0229346913,16720435.572959468,
415,LAWRENCE,PA,42073,3328.5,15025260.96,1819299165.2413921,3216129.2303977003,1822515294.4717898,
416,LE FLORE,OK,40079,0,9127061,1097676487,0,1097676487,
417,LEA,NM,35025,205561356,603679172,72390912325,193594706547.11066,265985618872.49707,1057
418,LEAVENWORTH,KS,20103,73895.41,0,0,69488517.24250977,69488517.24250977,
419,LEE,TX,48287,2300670,4984856,594276088.4,2154799745.1106296,2749075833.4634295,76.5
420,LEE,VA,51105,61,9619,1177037.111,57950.33914446234,1234987.4502944623,
421,LENAWEE,MI,26091,47127,0,0,45395958.38645753,45395958.38645753,
422,LEON,TX,48289,591390,31805214,3791699934,553893874.9,4345593808.729402,
423,LEWIS,WV,54041,39856,7718025,978634378.9,38510454.14052298,1017144833.0042729,93.75
424,LIBERTY,MT,30051,24643,401412,50196088.905600004,23825514.985971946,74021603.89157195,
425,LIBERTY,TX,48291,1020258,6198400,738950313.9200001,979421722.9323728,1718372036.852373,47.25
426,LICKING,OH,39089,94182.00001,546496.0004,68083674.01505506,90722561.44740145,158806235.46245652,20
427,LIMESTONE,TX,48293,56442,27196356,3242248936,52863386.41,3295112322.213513,
428,LINCOLN,CO,08073,338481,141211,17740627.412550002,327252531.6709317,344993159.08348167,
429,LINCOLN,LA,22061,2307229.684,402988216.4,47995755532.414085,2250529627.1884875,50246285159.60257,80.5
430,LINCOLN,NE,31111,603,0,0,567038.9527202487,567038.9527202487,
431,LINCOLN,OK,40081,357872,8255177,992818355.3585501,336529625.35306937,1329347980.7116194,28.75
432,LINCOLN,WV,54043,98409,4878363,618569354.8,95086694.13676049,713656048.9104105,
433,LINCOLN,WY,56023,192343,27927165,3498773878,185962384.00141224,3684736262.2479124,287.75
434,LINN,KS,20107,224622.07,0,0,211226307.34768555,211226307.34768555,
435,LIPSCOMB,TX,48295,1772227.5,38891474,4636497631.8262005,1659862285.8897836,6296359917.715984,27.5
436,LIVE OAK,TX,48297,19671438,91793048,10943227548,18424202335.99758,29367429884.279984,49.75
437,LIVINGSTON,LA,22063,636192,82799,9861331.920349998,614980794.4590209,624842126.3793708,
438,LIVINGSTON,MI,26093,26497,0,0,25523727.573704362,25523727.573704362,
439,LOGAN,AR,05083,0,6868193,815595858.2921001,0,815595858.2921001,
440,LOGAN,CO,08075,96798,200319,25166486.62,93586909.04565647,118753395.66960648,
441,LOGAN,KS,20109,685592.37,0,0,644705770.3,644705770.3,
442,LOGAN,OH,39091,9.000000432000002,117.00000110000002,14576.117537040422,8669.417639339908,23245.53517638033,
443,LOGAN,OK,40083,574801,7594068,913309321.2,540521653.5034024,1453830974.7016025,9.5
444,LOGAN,WV,54045,1985,7626298,967003528.3,1917986.0364546897,968921514.3043547,
